number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
431,Kabbie,"$33,333",1,0,0,0
432,Nite,"$33,237",4,2,4,0
433,Tonerre,"$33,233",10,4,6,0
434,Cloud,"$33,232",0,0,0,0
435,Deftly,"$33,213",0,3,0,0
436,Zefa,"$33,047",0,2,0,0
437,Mafa,"$32,986",1,1,2,1
438,Tabasko,"$32,922",6,2,4,0
439,Rather,"$32,894",2,1,1,1
440,Bluerzor,"$32,885",10,6,5,0
441,Frozen,"$32,881",2,2,0,1
442,Goldenglue,"$32,800",1,2,1,0
443,Send0o,"$32,775",8,11,2,1
444,Kami,"$32,672",2,3,4,0
445,SSol,"$32,558",1,3,1,0
446,Jockster,"$32,369",4,3,0,1
447,BaeMe,"$32,125",0,0,0,0
448,Chauster,"$31,980",2,3,3,0
449,NaeHyun,"$31,976",2,2,1,2
450,Asza,"$31,971",7,3,2,0
451,Tore,"$31,944",2,1,0,0
452,Bvoy,"$31,915",0,3,0,0
453,Armut,"$31,826",3,0,0,1
454,SnowFlower,"$31,476",4,0,1,1
455,Jiejie,"$31,360",0,1,3,0
456,kRYST4L,"$31,352",0,1,0,0
457,Lilv,"$31,067",1,2,3,1
458,Phones,"$30,983",1,5,5,0
459,K,"$30,973",0,2,3,0
459,Breeze,"$30,973",0,2,3,0
461,YiJin,"$30,872",3,2,3,0
462,Bo,"$30,670",0,1,0,0
463,Canna,"$30,636",1,1,0,1
464,Gemini,"$30,539",1,2,2,0
465,Crownshot,"$30,531",8,6,1,0
466,ZaZee,"$30,461",5,2,0,0
467,Djoko,"$30,280",9,4,0,0
468,Key,"$30,095",2,0,0,0
469,IWillDominate,"$30,000",0,3,4,0
470,Blasting,"$29,902",3,1,0,0
471,Zeitnot,"$29,895",5,3,0,2
472,Ellim,"$29,759",3,1,0,1
473,Warangelus,"$29,660",2,5,1,0
474,Keduii,"$29,649",4,6,2,0
475,Palafox,"$29,400",3,1,0,0
476,SirT,"$29,351",2,3,3,0
477,Robo,"$29,341",6,3,1,1
478,Dhokla,"$29,275",2,2,2,0
479,Lucas,"$29,269",2,0,0,0
480,Czekolad,"$29,232",3,1,1,0
481,Kumo,"$29,200",1,2,1,0
482,Dreams,"$29,178",3,3,0,0
483,Rest,"$29,099",1,1,3,1
484,Innaxe,"$29,086",4,7,0,0
485,FoFo,"$29,081",1,1,3,1
486,Rich,"$29,014",3,2,0,0
487,Rikara,"$29,000",2,0,0,0
488,Don Arts,"$28,990",4,2,1,0
489,Finn,"$28,967",1,2,3,0
490,Kreox,"$28,670",1,3,0,0
491,Szygenda,"$28,660",4,3,1,0
492,Rush,"$28,596",1,0,1,1
493,Comp,"$28,451",8,3,1,0
494,Isles,"$28,450",2,2,0,0
495,Hana,"$28,438",1,0,1,1
496,Adrian,"$28,400",1,2,4,0
497,Profit,"$28,366",2,0,0,1
498,AKi,"$28,319",0,0,1,0
499,Agresivoo,"$28,210",4,4,4,0
500,Copy,"$28,120",2,4,0,0
501,Voidle,"$28,052",2,2,2,0
502,Exile,"$28,005",2,7,2,0
503,Elyoya,"$27,948",2,1,0,1
504,Kiaya,"$27,883",2,2,1,0
505,Pretty,"$27,860",9,2,1,0
506,Aiming,"$27,810",0,2,1,0
507,Homme,"$27,787",1,1,1,1
508,CaoMei,"$27,776",2,0,0,0
509,WhiteLotus,"$27,760",5,0,1,0
509,Space,"$27,760",0,2,1,0
511,Moopz,"$27,592",8,6,4,0
512,Chei,"$27,573",0,1,0,0
513,Dan Dan,"$27,546",6,6,1,0
514,Conan,"$27,451",2,0,1,0
515,Mylon,"$27,408",3,2,2,0
516,Bigfatlp,"$27,280",2,3,1,0
517,Ranger,"$27,063",3,1,1,1
518,Nukes,"$27,027",4,4,1,0
519,Candy,"$27,000",3,1,0,0
520,Noway4u,"$26,998",6,3,1,0
521,Shlatan,"$26,969",5,5,0,0
522,RedBert,"$26,862",4,2,1,0
523,Forge,"$26,844",2,0,0,0
524,Duan,"$26,690",1,0,0,0
525,Benny,"$26,621",0,1,2,0
526,Dioud,"$26,588",2,1,3,0
527,Sya,"$26,581",2,2,1,0
528,Toaster,"$26,551",6,7,3,0
529,Sertuss,"$26,509",3,3,2,0
530,Aluka,"$26,251",0,1,1,0
531,Jay,"$26,232",1,1,2,0
532,Evolved,"$26,200",1,2,0,0
533,Buggax,"$26,186",3,0,1,0
534,TitaN,"$26,023",6,0,1,1
535,Tank,"$25,992",0,3,1,0
