number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
589,Riyev,"$23,121",4,0,0,1
590,Mia,"$23,016",0,0,0,0
591,Paranoia,"$22,995",1,3,1,0
592,Venzer,"$22,868",3,4,0,0
593,Hiiva,"$22,819",2,4,0,0
593,Avoidless,"$22,815",0,0,2,0
593,Jeskla,"$22,754",3,4,0,0
596,Sleeping,"$22,700",5,4,0,0
597,Fenix,"$22,690",1,1,3,0
598,Kitties,"$22,617",0,2,2,0
599,Freeze,"$22,590",4,6,1,1
600,Hooks,"$22,520",4,3,1,0
601,LirA,"$22,479",1,0,1,0
602,Jelly,"$22,385",1,0,0,0
603,Winds,"$22,200",0,1,0,0
604,Agurin,"$22,077",6,2,1,0
605,Puki style,"$22,062",2,8,4,0
606,Emperor,"$22,044",1,1,1,1
607,Kazu,"$21,989",3,1,0,0
608,SoHwan,"$21,907",0,0,0,0
609,Yuuki60,"$21,813",4,4,4,0
610,Werlyb,"$21,754",7,1,0,0
611,Venus,"$21,739",0,4,1,0
612,Phrenic,"$21,679",3,6,1,0
613,VincentVega,"$21,616",0,4,0,0
614,EasyLove,"$21,547",1,4,0,0
615,Empt2y,"$21,491",1,1,0,0
616,Raina,"$21,490",1,2,1,0
617,Archer,"$21,490",1,0,1,0
618,Ace,"$21,490",2,2,1,0
619,ocelote,"$21,422",0,1,5,0
620,Lamabear,"$21,380",1,0,0,0
621,Kirei,"$21,357",2,3,3,0
622,Summit,"$21,313",1,1,1,0
623,kev1n,"$21,270",1,0,0,0
624,Warzone,"$21,151",1,0,2,0
625,Jenax,"$21,069",1,5,2,0
626,Naru,"$20,993",3,1,0,1
627,Slayder,"$20,973",2,1,3,0
628,Minerva,"$20,795",3,5,1,0
629,Maxi,"$20,786",2,6,0,0
630,NoNHoly,"$20,727",0,5,1,0
631,Matislaw,"$20,617",3,7,1,0
632,DiscotEkka,"$20,549",0,4,0,0
633,FallenBandit,"$20,520",3,3,0,0
634,Prosfair,"$20,337",12,3,4,0
635,Exosen,"$20,298",5,5,1,0
636,S1xu,"$20,283",0,0,0,0
637,Wendelbo,"$20,059",5,4,0,0
638,fredy122,"$20,000",0,1,1,0
639,Revenge,"$20,000",0,1,0,0
640,Shikari,"$19,954",13,3,1,0
641,Tay,"$19,928",3,2,0,0
642,Veritas,"$19,902",2,3,0,0
643,Aria,"$19,888",1,0,1,0
644,Karis,"$19,826",2,1,0,0
645,Saintvicious,"$19,730",3,2,3,0
